backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,4523930,3,load,0.015228,192,0.000113176,0,1
EWAH,4523930,3,OR,0.001392,0,0,1043,1
EWAH,4523930,3,AND,0.001063,0,0,0,1
EWAH,4523930,3,XOR,0.001201,0,0,1043,1
EWAH,4523930,3,multi-OR,0.000613,0,0,1505,1
EWAH,4523930,3,OR_op,0.000108,0,0,0,1
EWAH,4523930,3,AND_op,9.6e-05,0,0,0,1
EWAH,4523930,3,XOR_op,0.000102,0,0,0,1
EWAH,4523930,3,NOT_op,9.4e-05,0,0,0,1
EWAH,4523930,3,COMP_op,0.000371,0,0,0,1
EWAH,4523930,3,COMP_op_conv,0.023704,0,0,4523427,1
