backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2963664,22,load,3.2001,5854216,0.718302,0,1
EWAH,2963664,22,OR,0.38858,0,0,1040180,1
EWAH,2963664,22,AND,0.247888,0,0,0,1
EWAH,2963664,22,XOR,0.39174,0,0,1040180,1
EWAH,2963664,22,multi-OR,6.86233,0,0,2963664,1
EWAH,2963664,22,OR_op,0.2278,0,0,0,1
EWAH,2963664,22,AND_op,0.246327,0,0,0,1
EWAH,2963664,22,XOR_op,0.236684,0,0,0,1
EWAH,2963664,22,NOT_op,0.154419,0,0,0,1
EWAH,2963664,22,COMP_op,0.897486,0,0,0,1
EWAH,2963664,22,COMP_op_conv,0.97993,0,0,2544010,1
