backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,11,load,0.093599,8068,0.000161891,0,1
CRoaring,36244344,11,OR,1.18345,0,0,20122661,1
CRoaring,36244344,11,AND,0.898859,0,0,0,1
CRoaring,36244344,11,XOR,0.330127,0,0,20122661,1
CRoaring,36244344,11,multi-OR,0.306204,0,0,36244344,1
CRoaring,36244344,11,OR_op,0.015792,0,0,20122661,1
CRoaring,36244344,11,AND_op,0.000218,0,0,0,1
CRoaring,36244344,11,XOR_op,0.01692,0,0,20122661,1
CRoaring,36244344,11,NOT_op,0.039899,0,0,23573656,1
CRoaring,36244344,11,OR_op_conv,0.269556,0,0,20122661,1
CRoaring,36244344,11,AND_op_conv,0.164181,0,0,0,1
CRoaring,36244344,11,XOR_op_conv,0.271483,0,0,20122661,1
CRoaring,36244344,11,NOT_op_conv,0.318127,0,0,23573656,1
CRoaring,36244344,11,COMP_op_native,0.067691,0,0,28792371,1
CRoaring,36244344,11,COMP_op,0.382673,0,0,28792371,1
