backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),36244344,11,load,0.645294,1514,3.03797e-05,0,1
DDC (New),36244344,11,OR,0.023378,0,0,20122661,1
DDC (New),36244344,11,AND,0.004639,0,0,0,1
DDC (New),36244344,11,XOR,0.005977,0,0,20122661,1
DDC (New),36244344,11,multi-OR,0.038212,0,0,36244344,1
DDC (New),36244344,11,OR_op,0.000221,0,0,20122661,1
DDC (New),36244344,11,AND_op,0.000149,0,0,0,1
DDC (New),36244344,11,XOR_op,0.000215,0,0,20122661,1
DDC (New),36244344,11,NOT_op,0.000138,0,0,23573656,1
DDC (New),36244344,11,COMP_op,0.042563,0,0,28792371,1
