backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,36244344,11,load,0.040446,696,1.39658e-05,0,1
EWAH,36244344,11,OR,0.001941,0,0,20122661,1
EWAH,36244344,11,AND,0.000944,0,0,0,1
EWAH,36244344,11,XOR,0.001499,0,0,20122661,1
EWAH,36244344,11,multi-OR,0.002437,0,0,36244344,1
EWAH,36244344,11,OR_op,8.9e-05,0,0,0,1
EWAH,36244344,11,AND_op,8.6e-05,0,0,0,1
EWAH,36244344,11,XOR_op,8.9e-05,0,0,0,1
EWAH,36244344,11,NOT_op,8.7e-05,0,0,0,1
EWAH,36244344,11,COMP_op,0.000344,0,0,0,1
EWAH,36244344,11,COMP_op_conv,0.293584,0,0,28792371,1
