backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2528312,132,load,3.35108,4890838,0.117238,0,1
CRoaring,2528312,132,OR,0.314144,0,0,324324,1
CRoaring,2528312,132,AND,0.083993,0,0,0,1
CRoaring,2528312,132,XOR,0.292306,0,0,324324,1
CRoaring,2528312,132,multi-OR,3.22444,0,0,2456218,1
CRoaring,2528312,132,OR_op,0.084627,0,0,324324,1
CRoaring,2528312,132,AND_op,0.050011,0,0,0,1
CRoaring,2528312,132,XOR_op,0.163597,0,0,324324,1
CRoaring,2528312,132,NOT_op,0.055943,0,0,2364005,1
CRoaring,2528312,132,OR_op_conv,0.101539,0,0,324324,1
CRoaring,2528312,132,AND_op_conv,0.056229,0,0,0,1
CRoaring,2528312,132,XOR_op_conv,0.18065,0,0,324324,1
CRoaring,2528312,132,NOT_op_conv,0.071417,0,0,2364005,1
CRoaring,2528312,132,COMP_op_native,0.481731,0,0,2368295,1
CRoaring,2528312,132,COMP_op,0.501235,0,0,2368295,1
