backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2528312,132,load,8.33902,14726160,0.353,0,1
EWAH,2528312,132,OR,0.27488,0,0,324324,1
EWAH,2528312,132,AND,0.182975,0,0,0,1
EWAH,2528312,132,XOR,0.279413,0,0,324324,1
EWAH,2528312,132,multi-OR,25.2253,0,0,2456218,1
EWAH,2528312,132,OR_op,0.156268,0,0,0,1
EWAH,2528312,132,AND_op,0.178998,0,0,0,1
EWAH,2528312,132,XOR_op,0.162946,0,0,0,1
EWAH,2528312,132,NOT_op,0.114633,0,0,0,1
EWAH,2528312,132,COMP_op,0.623429,0,0,0,1
EWAH,2528312,132,COMP_op_conv,0.635313,0,0,2368295,1
