backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),36244344,3,load,0.080683,26716,0.00196562,0,1
WAH (FastBit),36244344,3,OR,0.046548,0,0,3313,1
WAH (FastBit),36244344,3,AND,0.008787,0,0,0,1
WAH (FastBit),36244344,3,XOR,0.010748,0,0,3313,1
WAH (FastBit),36244344,3,multi-OR,0.069102,0,0,4844,1
WAH (FastBit),36244344,3,OR_op,0.016169,0,0,0,1
WAH (FastBit),36244344,3,AND_op,0.003951,0,0,0,1
WAH (FastBit),36244344,3,XOR_op,0.007666,0,0,0,1
WAH (FastBit),36244344,3,NOT_op,0.000498,0,0,0,1
WAH (FastBit),36244344,3,COMP_op,0.046791,0,0,0,1
WAH (FastBit),36244344,3,COMP_op_conv,0.386264,0,0,36242772,1
