backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,36244344,3,load,0.014571,480,3.53159e-05,0,1
EWAH,36244344,3,OR,0.001867,0,0,18491,1
EWAH,36244344,3,AND,0.001165,0,0,0,1
EWAH,36244344,3,XOR,0.001607,0,0,18491,1
EWAH,36244344,3,multi-OR,0.00141,0,0,26216,1
EWAH,36244344,3,OR_op,0.000192,0,0,0,1
EWAH,36244344,3,AND_op,0.000136,0,0,0,1
EWAH,36244344,3,XOR_op,0.000191,0,0,0,1
EWAH,36244344,3,NOT_op,0.000109,0,0,0,1
EWAH,36244344,3,COMP_op,0.000869,0,0,0,1
EWAH,36244344,3,COMP_op_conv,0.331984,0,0,36236102,1
