backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2528312,6,load,0.418163,530308,0.279664,0,1
DDC (New),2528312,6,OR,0.130724,0,0,2206089,1
DDC (New),2528312,6,AND,0.014558,0,0,0,1
DDC (New),2528312,6,XOR,0.086194,0,0,2206089,1
DDC (New),2528312,6,multi-OR,0.230967,0,0,2528312,1
DDC (New),2528312,6,OR_op,0.012385,0,0,2206089,1
DDC (New),2528312,6,AND_op,0.003946,0,0,0,1
DDC (New),2528312,6,XOR_op,0.011797,0,0,2206089,1
DDC (New),2528312,6,NOT_op,0.007264,0,0,985048,1
DDC (New),2528312,6,COMP_op,0.042423,0,0,1865487,1
