backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),2528312,132,load,12.2599,10450892,0.250518,0,1
WAH (FastBit),2528312,132,OR,0.60368,0,0,324324,1
WAH (FastBit),2528312,132,AND,0.568954,0,0,0,1
WAH (FastBit),2528312,132,XOR,0.294989,0,0,324324,1
WAH (FastBit),2528312,132,multi-OR,7.15173,0,0,2456218,1
WAH (FastBit),2528312,132,OR_op,0.330398,0,0,0,1
WAH (FastBit),2528312,132,AND_op,0.308199,0,0,0,1
WAH (FastBit),2528312,132,XOR_op,0.153305,0,0,0,1
WAH (FastBit),2528312,132,NOT_op,0.018137,0,0,0,1
WAH (FastBit),2528312,132,COMP_op,0.742186,0,0,0,1
WAH (FastBit),2528312,132,COMP_op_conv,1.00984,0,0,2368295,1
