case,num_rows,backend,native_ms,selected_delivered_ms,delivered_minus_native_medians_ms,median_difference_fraction,native_operation,selected_operation
mc_ctype,2609129,DDC,0.002895,0.002895,0.0,0.0,COMP_op,COMP_op
mc_ctype,2609129,CRoaring,0.005449,0.013253,0.007803999999999999,0.5888478080434618,COMP_op_native,COMP_op
mc_ctype,2609129,WAH,0.000779,0.007569,0.00679,0.8970801955344166,COMP_op,COMP_op_conv
mc_ctype,2609129,EWAH,0.000244,0.007016,0.006771999999999999,0.9652223489167616,COMP_op,COMP_op_conv
kind,2528312,DDC,0.042159,0.042159,0.0,0.0,COMP_op,COMP_op
kind,2528312,CRoaring,0.03433,0.049957,0.015627000000000002,0.3128090157535481,COMP_op_native,COMP_op
kind,2528312,WAH,0.404342,0.688082,0.28374,0.41236364270537523,COMP_op,COMP_op_conv
kind,2528312,EWAH,0.220754,0.236105,0.015351000000000004,0.06501768281061393,COMP_op,COMP_op_conv
role,36244344,DDC,0.042585,0.042585,0.0,0.0,COMP_op,COMP_op
role,36244344,CRoaring,0.067821,0.385381,0.31755999999999995,0.8240157143190764,COMP_op_native,COMP_op
role,36244344,WAH,0.001096,0.295547,0.294451,0.9962916219755233,COMP_op,COMP_op_conv
role,36244344,EWAH,0.000343,0.294883,0.29454,0.998836826809277,COMP_op,COMP_op_conv
pi_itype,2963664,DDC,0.084412,0.084412,0.0,0.0,COMP_op,COMP_op
pi_itype,2963664,CRoaring,0.177342,0.210463,0.03312100000000001,0.15737207965295566,COMP_op_native,COMP_op
pi_itype,2963664,WAH,1.01515,1.33309,0.3179400000000001,0.23849852598099158,COMP_op,COMP_op_conv
pi_itype,2963664,EWAH,0.897565,0.97993,0.08236500000000002,0.08405192207606668,COMP_op,COMP_op_conv
mi_itype,14835720,DDC,0.021292,0.021292,0.0,0.0,COMP_op,COMP_op
mi_itype,14835720,CRoaring,0.020167,0.114805,0.094638,0.8243369191237315,COMP_op_native,COMP_op
mi_itype,14835720,WAH,0.001209,0.085324,0.084115,0.9858304814589095,COMP_op,COMP_op_conv
mi_itype,14835720,EWAH,0.000371,0.079122,0.078751,0.9953110386491747,COMP_op,COMP_op_conv
year,2528312,DDC,0.075805,0.075805,0.0,0.0,COMP_op,COMP_op
year,2528312,CRoaring,0.48122,0.501817,0.020596999999999976,0.041044843040391174,COMP_op_native,COMP_op
year,2528312,WAH,0.744327,1.00984,0.2655130000000001,0.26292581002931165,COMP_op,COMP_op_conv
year,2528312,EWAH,0.61968,0.633265,0.013584999999999958,0.021452314591837475,COMP_op,COMP_op_conv
country,234997,DDC,0.007056,0.007056,0.0,0.0,COMP_op,COMP_op
country,234997,CRoaring,0.030226,0.030882,0.0006560000000000003,0.021242147529305106,COMP_op_native,COMP_op
country,234997,WAH,0.037615,0.062473,0.024857999999999998,0.39789989275366955,COMP_op,COMP_op_conv
country,234997,EWAH,0.055881,0.057017,0.0011359999999999981,0.019923882350877775,COMP_op,COMP_op_conv
movie_keyword_movie_id,4523930,DDC,0.004823,0.004823,0.0,0.0,COMP_op,COMP_op
movie_keyword_movie_id,4523930,CRoaring,0.002561,0.02812,0.025559,0.9089260312944523,COMP_op_native,COMP_op
movie_keyword_movie_id,4523930,WAH,0.001193,0.02454,0.023347,0.9513854930725346,COMP_op,COMP_op_conv
movie_keyword_movie_id,4523930,EWAH,0.000366,0.023694,0.023328,0.9845530514054192,COMP_op,COMP_op_conv
cast_info_movie_id,36244344,DDC,0.377841,0.377841,0.0,0.0,COMP_op,COMP_op
cast_info_movie_id,36244344,CRoaring,0.142897,0.536877,0.39398000000000005,0.7338366143455578,COMP_op_native,COMP_op
cast_info_movie_id,36244344,WAH,0.046621,0.386264,0.339643,0.8793027566638361,COMP_op,COMP_op_conv
cast_info_movie_id,36244344,EWAH,0.049086,0.385889,0.33680299999999996,0.8727976179678612,COMP_op,COMP_op_conv
cast_info_person_id,36244344,DDC,0.046668,0.046668,0.0,0.0,COMP_op,COMP_op
cast_info_person_id,36244344,CRoaring,0.037091,0.388441,0.35135,0.9045131693101398,COMP_op_native,COMP_op
cast_info_person_id,36244344,WAH,0.002118,0.334488,0.33237,0.993667934275669,COMP_op,COMP_op_conv
cast_info_person_id,36244344,EWAH,0.000863,0.33332,0.332457,0.9974108964358575,COMP_op,COMP_op_conv
