# hierarchy_depth_size.dat — per-bitmap compressed size by marker depth
# Generated from tools/bench_L_sizes.csv (100M rows; c=2..2000 uniform random,
# c=3000..50000 tile-mode small_n=1M tile=100 — tile artefacts on per-bitmap
# size are negligible vs the marker-layer plateau structure this plot shows).
# Each value = (total bytes for c bitmaps) / c / 1048576  ⇒  MB per bitmap.
#
# density(%) = (1 / cardinality) * 100
#
# density(%)   card    L2_MB        L3_MB        L4_MB        L5_MB        
50           2       13.364649    12.106609    11.984777    11.984539    
20           5       11.411667    11.254978    11.255283    11.250076    
10           10      8.279428     8.449202     8.302088     8.293581     
5            20      5.502605     5.632973     5.519056     5.519962     
2            50      3.269138     3.046398     3.055401     3.046017     
1            100     2.411070     1.814117     1.836061     1.817007     
0.5          200     1.958699     1.063805     1.072779     1.063404     
0.2          500     1.679523     0.554880     0.511330     0.513569     
0.1          1000    1.585150     0.373723     0.285407     0.287918     
0.05         2000    1.537719     0.280805     0.159900     0.159807     
0.033333     3000    1.521870     0.249565     0.115818     0.112764     
0.02         5000    1.509176     0.224361     0.079509     0.072115     
0.01         10000   1.499653     0.205389     0.051705     0.039120     
0.005        20000   1.494884     0.195876     0.037601     0.021506     
0.002        50000   1.492023     0.190161     0.029076     0.010499     
